"p","accuracy_mean","accuracy_std"
0.1,0.715783775981524,0.0614184372060471
0.2,0.724303550808314,0.0436426216246042
0.3,0.681575971901463,0.0387625332454061
0.4,0.666139217667437,0.0296559002257197
0.5,0.617943129330254,0.065339924913477
0.6,0.577493010818038,0.0440515802068018
0.7,0.548006262613653,0.0336525289387663
0.8,0.52907202996854,0.0417720824949867
0.9,0.513739724478755,0.0289392655143315
